text,question,answer_term,ep,sp
" death in a concentration- and time-dependent manner. MDMA did not show a concentration- and time-dependent death. Pre-treatment with the antioxidant and glutathione precursor, N-acetylcysteine (NAC), resulted in strong protection against the MDMA metabolites' neurotoxicity. Neither the superoxide radical scavenger, tiron, nor the inhibitor of the dopamine (DA) transporter, GB R 12909, revented the metabolites' toxicity. Cells exposed to α-MeDA showed an increase in intracellular glutathione (GSH) levels, which, at the 48 h time-point, was not dependent in the activity increase of γ-glutamylcysteine synthetase (γ-GCS), revealing a possible transient effect. Importantly, pre-treatment with buthionine sulfoximine (BSO), an inhibitor of γ-GCS, prevented",GBR 12909 acts as INHIBITOR for what entity? ,dopamine (DA) transporter,-1.0,-1.0
" the dopamine (DA) transporter, GBR 12909, prevented the metabolites' toxicity. Cells exposed to α-MeDA showed an increase in intracellular glutathione (GSH) levels, which, at the 48 h time-point, was not dependent in the activity increase of γ-glutamylcysteine synthetase (γ-GCS), revealing a possible transient effect. Importantly, pre-treatment with bu thionine sulfoximine ( SO), an inhibitor of γ-GCS, prevented α-MeDA induced increase in GSH levels, but did not augment this metabolite cytotoxicity. Even so, BSO pre-treatment abolished NAC protective effects against α-MeDA neurotoxicity, which were, at least partially, due to GSH de novo synthesis. Inversely, pre-treatment of cells with BSO augmented",buthionine sulfoximine acts as INHIBITOR for what entity? ,γ-GCS,-1.0,-1.0
" neonatal rats before eyelid opening. To clarify the cause of age differences on selenite cataract formation in rats, mRNA expression of GPx1, MsrA and MsrB1, as well as GPx activity in Wistar rat lens at different ages were assayed, level of lipid peroxidation, extent of lens damage induced by sodium selenite and barricade function of blood-retinal barrier (BRB) were investigated. The results showed that mRNA expressions and activity of antioxidant enzymes in neonatal rat lens before eyelid opening were the highest and then decreased with age, and revealed by transmission electron microscopy (TEM) using lanthanum hydroxide as tracer that higher",sodium selenite acts as INDIRECT-REGULATOR for what entity? ,MsrA,147.0,143.0
" neonatal rats before eyelid opening. To clarify the cause of age differences on selenite cataract formation in rats, mRNA expression of GPx1, MsrA and MsrB1, as well as GPx activity in Wistar rat lens at different ages were assayed, level of lipid peroxidation, extent of lens damage induced by sodium selenite and barricade function of blood-retinal barrier (BRB) were investigated. The results showed that mRNA expressions and activity of antioxidant enzymes in neonatal rat lens before eyelid opening were the highest and then decreased with age, and revealed by transmission electron microscopy (TEM) using lanthanum hydroxide as tracer that higher",sodium selenite acts as INDIRECT-REGULATOR for what entity? ,MsrB1,-1.0,-1.0
" neonatal rats before eyelid opening. To clarify the cause of age differences on selenite cataract formation in rats, mRNA expression of GPx1, MsrA and MsrB1, as well as GPx activity in Wistar rat lens at different ages were assayed, level of lipid peroxidation, extent of lens damage induced by sodium selenite and barricade function of blood-retinal barrier (BRB) were investigated. The results showed that mRNA expressions and activity of antioxidant enzymes in neonatal rat lens before eyelid opening were the highest and then decreased with age, and revealed by transmission electron microscopy (TEM) using lanthanum hydroxide as tracer that higher",sodium selenite acts as INDIRECT-REGULATOR for what entity? ,GPx1,-1.0,-1.0
" neonatal rats before eyelid opening. To clarify the cause of age differences on selenite cataract formation in rats, mRNA expression of GPx1, MsrA and MsrB1, as well as GPx activity in Wistar rat lens at different ages were assayed, level of lipid peroxidation, extent of lens damage induced by sodium selenite and barricade function of blood-retinal barrier (BRB) were investigated. The results showed that mRNA expressions and activity of antioxidant enzymes in neonatal rat lens before eyelid opening were the highest and then decreased with age, and revealed by transmission electron microscopy (TEM) using lanthanum hydroxide as tracer that higher",sodium selenite acts as REGULATOR for what entity? ,GPx,173.0,170.0
" Phosphodiesterase inhibitors. Part 5: hybrid PDE3/4 inhibitors as dual bronchorelaxant/anti-inflammatory agents for inhaled administration. (-)-6-(7-Methoxy-2-(trifluoromethyl)pyrazolo[1,5-a]pyridin-4-yl)-5-methyl-4,5-dihydropyridazin-3(2H)-one (KCA-1490) exhibits moderate dual PDE3/4-inhibitory activity and promises as a combined bronchodilatory/anti-inflammatory agent. N-alkylation of the pyridazinone ring markedly enhances potency against PDE4 but suppresses PDE3 inhibition. Addition of a 6-aryl-4,5-dihydropyridazin-3(2H)-one extension to the N-alkyl group facilitates both enhancement of PDE4-inhibitory activity and restoration of potent PDE3 inhibition. Both","(-)-6-(7-Methoxy-2-(trifluoromethyl)pyrazolo[1,5-a]pyridin-4-yl)-5-methyl-4,5-dihydropyridazin-3(2H)-one acts as INHIBITOR for what entity? ",PDE3/4,52.0,46.0
" Phosphodiesterase inhibitors. Part 5: hybrid PDE3/4 inhibitors as dual bronchorelaxant/anti-inflammatory agents for inhaled administration.(-)-6-(7-Methoxy-2-(trifluoromethyl)pyrazolo[1,5-a]pyridin-4-yl)-5-methyl-4,5-dihydropyridazin-3(2H)-one ( KCA-1490 exhibits moderate dual PDE3/4-inhibitory activity and promises as a combined bronchodilatory/anti-inflammatory agent. N-alkylation of the pyridazinone ring markedly enhances potency against PDE4 but suppresses PDE3 inhibition. Addition of a 6-aryl-4,5-dihydropyridazin-3(2H)-one extension to the N-alkyl group facilitates both enhancement of PDE4-inhibitory activity and restoration of potent PDE3 inhibition. Both dihydropyridazinone",KCA-1490 acts as INHIBITOR for what entity? ,PDE3/4,52.0,46.0
" Phosphodiesterase inhibitors. Part 5: hybrid PDE3/4 inhibitors as dual bronchorelaxant/anti-inflammatory agents for inhaled administration.(-)-6-(7-Methoxy-2-(trifluoromethyl)pyrazolo[1,5-a]pyridin-4-yl)-5-methyl-4,5-dihydropyridazin-3(2H)-one (KCA-1490) exhibits moderate dual PDE3/4-inhibitory activity and promises as a combined bronchodilatory/anti-inflammatory agent. N alkylation of the pyridazinone ring markedly enhances potency against PDE4 but suppresses PDE3 inhibition. Addition of a 6-aryl-4,5-dihydropyridazin-3(2H)-one extension to the N-alkyl group facilitates both enhancement of PDE4-inhibitory activity and restoration of potent PDE3 inhibition. Both dihydropyridazinone rings, in the core and extension, can be replaced by achiral 4,4-dimethylpyrazolone",N acts as INHIBITOR for what entity? ,PDE4,450.0,446.0
" Phosphodiesterase inhibitors. Part 5: hybrid PDE3/4 inhibitors as dual bronchorelaxant/anti-inflammatory agents for inhaled administration.(-)-6-(7-Methoxy-2-(trifluoromethyl)pyrazolo[1,5-a]pyridin-4-yl)-5-methyl-4,5-dihydropyridazin-3(2H)-one (KCA-1490) exhibits moderate dual PDE3/4-inhibitory activity and promises as a combined bronchodilatory/anti-inflammatory agent. N alkylation of the pyridazinone ring markedly enhances potency against PDE4 but suppresses PDE3 inhibition. Addition of a 6-aryl-4,5-dihydropyridazin-3(2H)-one extension to the N-alkyl group facilitates both enhancement of PDE4-inhibitory activity and restoration of potent PDE3 inhibition. Both dihydropyridazinone rings, in the core and extension, can be replaced by achiral 4,4-dimethylpyrazolone",N acts as INHIBITOR for what entity? ,PDE3,470.0,466.0
" Phosphodiesterase inhibitors. Part 5: hybrid PDE3/4 inhibitors as dual bronchorelaxant/anti-inflammatory agents for inhaled administration.(-)-6-(7-Methoxy-2-(trifluoromethyl)pyrazolo[1,5-a]pyridin-4-yl)-5-methyl-4,5-dihydropyridazin-3(2H)-one (KCA-1490) exhibits moderate dual PDE3/4-inhibitory activity and promises as a combined bronchodilatory/anti-inflammatory agent. N-alkylation of the pyridazinone ring markedly enhances potency against PDE4 but suppresses PDE3 inhibition. Addition of a 6-aryl-4,5-dihydropyridazin-3(2H)-one extension to the N-alkyl group facilitates both enhancement of PDE4-inhibitory activity and restoration of potent PDE3 inhibition. Both dihydropyridazinone rings, in the core and extension, can be replaced by achiral 4,4-dimethylpyrazolone subunits and the core",pyridazinone acts as INHIBITOR for what entity? ,PDE4,450.0,446.0
" Phosphodiesterase inhibitors. Part 5: hybrid PDE3/4 inhibitors as dual bronchorelaxant/anti-inflammatory agents for inhaled administration.(-)-6-(7-Methoxy-2-(trifluoromethyl)pyrazolo[1,5-a]pyridin-4-yl)-5-methyl-4,5-dihydropyridazin-3(2H)-one (KCA-1490) exhibits moderate dual PDE3/4-inhibitory activity and promises as a combined bronchodilatory/anti-inflammatory agent. N-alkylation of the pyridazinone ring markedly enhances potency against PDE4 but suppresses PDE3 inhibition. Addition of a 6-aryl-4,5-dihydropyridazin-3(2H)-one extension to the N-alkyl group facilitates both enhancement of PDE4-inhibitory activity and restoration of potent PDE3 inhibition. Both dihydropyridazinone rings, in the core and extension, can be replaced by achiral 4,4-dimethylpyrazolone subunits and the core",pyridazinone acts as INHIBITOR for what entity? ,PDE3,470.0,466.0
" Phosphodiesterase inhibitors. Part 5: hybrid PDE3/4 inhibitors as dual bronchorelaxant/anti-inflammatory agents for inhaled administration.(-)-6-(7-Methoxy-2-(trifluoromethyl)pyrazolo[1,5-a]pyridin-4-yl)-5-methyl-4,5-dihydropyridazin-3(2H)-one (KCA-1490) exhibits moderate dual PDE3/4-inhibitory activity and promises as a combined bronchodilatory/anti-inflammatory agent. N-alkylation of the pyridazinone ring markedly enhances potency against PDE4 but suppresses PDE3 inhibition. Addition of a 6-aryl-4,5-dihydropyridazin-3(2H)-one extension to the N-alkyl group facilitates both enhancement of PDE4-inhibitory activity and restoration of potent PDE3 inhibition. Both dihydropyridazinone rings, in the core and extension, can be replaced by achiral 4,4-dimethylpyrazolone subunits and the core pyrazolopyridine by isosteric bicyclic heteroaromatics. In combination, these modifications afford potent dual PDE3/4 inhibitors","6-aryl-4,5-dihydropyridazin-3(2H)-one acts as INHIBITOR for what entity? ",PDE4,450.0,446.0
" Phosphodiesterase inhibitors. Part 5: hybrid PDE3/4 inhibitors as dual bronchorelaxant/anti-inflammatory agents for inhaled administration.(-)-6-(7-Methoxy-2-(trifluoromethyl)pyrazolo[1,5-a]pyridin-4-yl)-5-methyl-4,5-dihydropyridazin-3(2H)-one (KCA-1490) exhibits moderate dual PDE3/4-inhibitory activity and promises as a combined bronchodilatory/anti-inflammatory agent. N-alkylation of the pyridazinone ring markedly enhances potency against PDE4 but suppresses PDE3 inhibition. Addition of a 6-aryl-4,5-dihydropyridazin-3(2H)-one extension to the N-alkyl group facilitates both enhancement of PDE4-inhibitory activity and restoration of potent PDE3 inhibition. Both dihydropyridazinone rings, in the core and extension, can be replaced by achiral 4,4-dimethylpyrazolone subunits and the core pyrazolopyridine by isosteric bicyclic heteroaromatics. In combination, these modifications afford potent dual PDE3/4 inhibitors","6-aryl-4,5-dihydropyridazin-3(2H)-one acts as INHIBITOR for what entity? ",PDE3,470.0,466.0
" Phosphodiesterase inhibitors. Part 5: hybrid PDE3/4 inhibitors as dual bronchorelaxant/anti-inflammatory agents for inhaled administration.(-)-6-(7-Methoxy-2-(trifluoromethyl)pyrazolo[1,5-a]pyridin-4-yl)-5-methyl-4,5-dihydropyridazin-3(2H)-one (KCA-1490) exhibits moderate dual PDE3/4-inhibitory activity and promises as a combined bronchodilatory/anti-inflammatory agent. N-alkylation of the pyridazinone ring markedly enhances potency against PDE4 but suppresses PDE3 inhibition. Addition of a 6-aryl-4,5-dihydropyridazin-3(2H)-one extension to the N alkyl group facilitates both enhancement of PDE4-inhibitory activity and restoration of potent PDE3 inhibition. Both dihydropyridazinone rings, in the core and extension, can be replaced by achiral 4,4-dimethylpyrazolone subunits and the core pyrazolopyridine by isosteric bicyclic heteroaromatics. In combination, these modifications afford potent dual PDE3/4 inhibitors that suppress histamine-induced",N acts as INHIBITOR for what entity? ,PDE4,450.0,446.0
